clase1,clase2,clase3,clase4,clase5,clase6
asterisco,pillo,gringo carepija,Ana Mier de Cilla,guarra,Original en los comentarios
culantro,farsante ,indio lameculos,Jorge Nitales,gueisa,NUEVO TRAILER de la película
ortopedico,ese man es un farsante de a verga ,longo huevon,Alejo Demi Vara,güinza,¿Cual es la conversacion mas random que han tenido con alguien en un juego?
caldo de patas,fariseo,guambra mequetrefe,Aquiles Baeza,gumia,busco ala morra a 5 km de distancia 
delantera,hipocrita,indio pedorro,Aquiles Poncho,huevera,pasa la foto original papu
doble espalda,cuatroojos ,guambra lamebotas,Pilar Godoy,huila,prender a borrar el texto en movil
bubys,infeliz,indio cara de perro,Elver Gudo Tomás,hurgamandera,Pintar toda la casa
ruliman,inutil ,longo imbecil,Paco Hertz,hurona,ompraste la consola cuando podías emularlo en el celular
duraznos,inutil de a verga ,mona cabrona,Lupe Laste,iza,cuesta mucho menos que un teléfono que pueda emular mas o menos
flotadores,escoria,negro subnnormal ,Pepita Rica,jabata,"y miren lo que me encontré, bien que la apoyan con sus reproducciones, pero aver, compren sus discos a ver si llega a obtener disco de oro"
globitos,ladron de a verga ,negro idiota,Luz Rojas,jinetera,"Cosas que son geniales en fics pero que no dan en la vida real, yo empiezo"
gemelos,mamerto ,dejate de huevonadas,Dolores Delorto,kilometreada,Canciones que se convirtieron en leyendas en algún videojuego
gomas,ese man es un pobre mamerto ,gringo carita de verga,Mariela Putalova,lacroilla,Inocente yo que cuando leí mi primer omagaverse creí que anudar era amarrar al Omega en la cama
mangos,descarado ,mono careculo ,Devora Nabos Dulce,ladillera,Me recuerda a cierto tio que tiene más spam que reproducciones
naranjas,esa man es una desgarbada ,indio culiado,Alma María Rico,lagarta,Deseo tener súper fuerza
melones,desgarbado ,picado hijueputa,Margi Nalba,lagartera,"Deseo ser inmortal sin tener la capacidad de morir de ningún modo, menos de viejo"
pechonalidad,ceguetas ,maldita cucaracha,osa Meltroso,lagartona,Deseo la paz mundial
pechereques,patetico,hijo recalcado de la puta tu madre,Susana Orias,lea,millonario
pechugas, ese man es un longo patetico ,runa lame bolas,Debora Melo,leona,No cabe duda que fue lo mejor de esta década
teteras,viejo coño ,chilenos hijueputas,Elsa Pato,leonesa,de ley eres tu
yoyo,muerto de hambre ,peruano hijo de puta,Debora Dora Golosa,loba,"Aquí queriendo mostrarles mi nuevo tatuaje, regalo de una amiga"
toronja,ese man es un pobre descarado ,me tienes hasta la verga,Agar Remelo,lumi,F
esos globos estan apunto de reventar,guambra patetico ,mono metido de a verga,Inés Queleto,lumia,Coito
que buenos atributos nena,eres un bastardo por decir eso ,cachero hijueputa,Rosa Melcacho,lumiasca,No me rio porque fácilmente podría ser cualquiera de los que estamos en el grupo xd
que tal esa pechugaza,no seas mamerto ve ,cabeza de escroto,Inés Esario,magaya,Siempre se recupera
"mami, ricos melones",puta ,cachete de bolsa de gorila,Chocha Rica,mamadera,Porque queda bonita
como quisiera morder esas sandías,eres una pobre puta ,peruano pela verga,Gelga Toloco,mamona,A mi me gusta simplemente porque me gusta exprimir lo más que se pueda un juego xd
esas narajas estan para apretarlas,zorra ,ladron ladron,Helen Chufe,manfla,"Mis amores, como habrán notado no he estado haciendo streaming porque no ando bien de salud, desde el lunes ando así y asá Entonces retomaré mis actividades de streaming, la siguiente semana. Ando descansando y yendo a mi ritmo."
bonita sonria,te ves horroroso con esa ropa ,pilas mamaverga ,Zampa Teste,maraca,"No me olviden, please"
tremendo barril que se lleva,tu madre es una pobre ramera ,eres una webada ,Lola Mesa,mestiza tratada,"yo les expliqué mi manera especial de comer cereal, pero la gente que solo ve shorts no tiene por qué saberlo"
rica carne,eres una pobre zorra ,veneca de mierda,Zoila Vaca,microondas,"Nunca había pensado comer cereal así, así que lo probé y está bien"
hamburguesa,puta tu madre ,quiteños sangrones,Elsa Capunta,mil maridos,tqm tkm tqquiero
lomo,ramera ,que tiro contigo,Carmén Diga,moma,La foto que no sabías que necesitabas.
panqueque,eres una ramera ,estas lorenzo,Inés Pejo,mona,"Os acordáis cuando me funaron por participar en un torneo de el último que aguante streameando gana, sin tiempo límite??"
posaderas,pareces puta con esa ropa ,gordo pareces chancho en poza,Aura Cazola,mortadela,Lo tuyo era sin dormir
mira ese potencial,"come bien, cerdo",longo asco,Margarita Flores del Campo,mozcorra,¿A qué edad obtuvieron su primer empleo?
rabo,eres una pobre escoria ,putito,Petrona Melano,mujerzuela,16 por aprender la experiencia y tener mi propio dinero
rabanal,pareces ramera parada en esa esquina ,guambra mudo,Elba Zurita,negra tratada,"Yo empecé a trabajar desde primaria con mi madre, una tía, mi abuelo y ahora que no estudio sigo trabajando con mi madre"
raya,que patetico es tu comportamiento ,chocoso,Altagracia Delano,niñoca,"A los 19, siendo intérprete para un evento donde se reunían científicos e ingenieros que nama hablaban inglés"
tubo,te ries como burro ,guayaco arrecho,Vuda Pest,nocturna,sexo
que ahuevado,caretuco,arrecho,Ster Colero,ordeñadora,de
chirrete,Que caretuco que eres ve ,cuy de verga,Soila Cerda,pajarera,la
gilberto,eres una caca,te crees muy bacan,Trina Lealto,pajarona,que
huevón,ese man es un cuatrojos,gajo de verga,Elsa Pito,pajillera,el
playboy,eres color centavo ,eres una zota,Debora Teste,pantera,en
casanova,pareces carton mojado ,solo vienes a tirar visaje sapo ,Altiva Louza,parga,y
buen potasio,indio mugroso ,visaje,Ana Conda,patín,a
cacharrera,india ramera ,emputar,Zoila Rica,patinadora,los
chuchurrumika,eres una porqueria ,costeño de caña mala ,Arduja Lalo,pelandusca,se
culisuelta,longa,lamparoso,Dolores Delano,pendeja,del
hasta el pincho,mona,muevete gil de estopa,Rita Lazo (Lazo Rita al revés),pendón,las
hasta las huevas,chola,indio cara dura,Miranda Rica,perendeca,un
mal aborto,Cojuda,safado,Cesaria Salvadora,perica,por
mantequilla,tu mamá parece longa ,deja de tirar goma,Miber Ghota,perra,con
moticuca,mona suripanta ,guambra nini,Mitra Galo,peseta,no
ni pal caldo,suripanta ,longa hueso,Elba Lazo,pesetera,una
saca leche,deja de ser cojuda ve ,ven para mearte insecto hijueputa,Esperanza del Pito,piculina,su
tas pa comer y llevar,hablas como chola ,que huevada ,Ines Pinilla,pilingui,para
tas pa meterte,longo mudo ,la tuya ve verga,Eva Fina Segura,pilla,es
le reventé la araña, longa bruta ,cabeza hueca,Medásculo Moreno,pingona,al
por el chancho nomá se le da,eres un hipocrita de a verga ,mal agradecida,Elber Galarga,piruja,lo
para inyectarte mi amor,ceguetas de mierda ,dejate de pendejadas,Benito Camelo,polilla,como
lo hiciste con la nadadora,tu papá es un pobre infeliz ,romperte el hocico,Elvis Cocho,pollera,más
le gusto mi cabezón,eres una puta barata ,payasa sin gracia,Hector Cido,prosti,o
machucante,pareces regalada actuando asi ,no te hagas la víctima,Petronilo Pienzo,pujicama,pero
jinete,pastuso,respeta el pais ajeno,Henry Dículo,punto filipino,sus
machucante,eres un pastuso de mierda ,larguese,Jorge Nitales,pupila,le
montalbán,carishina,hdpts,Fernando Pelando,putinga,ha
rompecolumnas,no sirves para nada carishina ,no te hagas la santa,Elton Titho,quedona,me
rompecatre,longa carishina ,esta tipeja,Lenin Hitler,quincha,si
"saca conejo 
",ofrecida ,no sean giles,Lucas Caron,rabiza,sin
loca,eres mas ofrecida que una puta del centro ,enemigos de los ecuatorianos,Federico Hermoso,rampletera,sobre
mariquita,care caca,cara de artesania maya,Paco Jones,rastrera,este
mariposa,cierra la trompa pendejo ,venezolana irrespetuosa,Pinto Paredes,rebuscona,ya
ñoco,que inepto eres ,indigenas feos,Pito Real,recorrida,entre
"rosquete 
",cobarde de a verga ,eres una bestia con mayuscula,Bartolomeo Lameza,ruca,cuando
volteadora,pareces vagabundo,desgraciada largate,Carmelo Lame,rufa,todo
camionera,guambra turro ,pendejos,Leonerso Presilla,sabanera,esta
tortis,deja de ser fariseo ve ,negro pendejo,Armando Casas,salida,ser
pipilín,te ries como idiota ,ahora te crees santa y puritana,Santiago Norreas,saya,son
pichon,gordo de mierda ,estas degradando al Ecuador,Aquiles Castro,soldadera,dos
malogrado,gordo ,dejate de estupideses,Aquiles Vengo,sota,también
manicito,ceporro,tú solo vienes a trabajar para la gallada ,Mario Fuerte,suripanta,fue
cosaza,el ceporro de tu amigo ,gordo chichon,Paco Melargo,taconera,había
chips,esbirro,te iindignas por huevadas,Elmer Curio,tigresa,era
chisi,los  politicos son unos pobres esbirros ,eres verga y miseria,Aquiles Baez,tipa,muy
pichi,cepillo,maldito menospreciado ,Lucho Portuano,tiparraca,años
pistacho,negro conchetumadre ,que chucha haces aquí,Antor Tilla,trabuquera,hasta
capuchon,negro mamaverga ,runa imbecil,Armando Salas,tremenda,desde
peluche,viejo cojudo ,"pobrecita, mejor que regrese a su pais ",Armando Elpote,trotacalles,está
el seco,guambra inutil ,hablas piedras mmv ,Victor Tazo,trotadora,mi
cache,por la gran puta de tu madre ,lárgate y llévate a esa hp de aquí,Próculo Rico,trotera,porque
que te den por el anexo,indio mushpa ,hija de puta aqui tienes papel higiénico para limpiarte el culo,Alan Brito,trotona,qué
cepillar,seboso,eres una victima de tu estupidez,Leo Diario,trufera,sólo
chuculum,gordo seboso,lanzas mierda cual simio enjaulado,Armando Campos,turquesa,han
mamalú,vieja sebosa ,negro gay,Elver Gazo,turra,yo
chupete,pareces marrano ,regresate por donde viniste,Alonso Meta,yiro,hay
chupetazo,marrano ,por mi jodete mal parido,Carmelo Tomas del Mazo,zorra,vez
chupon,negro sin verguenza ,el pais esta mejor sin ustedes,Zacarías Flores,zurriaga,puede
chupetear,sonso mamaverga ,mentiroso hijueputa,Elvis Tek,yuhe,todos
chapar,Arrogante,mono mamerto,Armando Paredes,peripatética,así
chapetón,viejo arrogante,pedaso de sabandija,Felix Porver,zángana,nos
culeador de burras,Arrogante mmv,re mil puta,Cesar Noso,bataclana,ni
cepellin,baboso ,masca verga,Ever Cornudo,descarriada,parte
sometedor de geis,negro baboso ,recachudo de mierda,Lucho Pay,deshonesta,tiene
contra el tránsito,indio baboso ,recachudo ,Felipe Lotas,disoluta,él
kuáquer,bocon,mierdero de ser humano,Alpedo Portuano,libertina,uno
bebedor de kuáquer,mocoso bocon ,mona estupida,Casimiro Noveno,alegre,donde
lengüinski ,canalla,mona gorda hijueputa,Zoiel Gey,indecente,bien
cachorro,care gil,mona rata rastrera,Lomas Turbas,inmoral,tiempo
y tu cachorro donde esta,indio canalla,longa roba maridos ,Mar Chese,fácil,mismo
autoservicio,indio bocon ,manos alsadas,Padel Nuestro,ligera,ese
anís,chiflado,metete en tus webadas,Tareas dirigidas Tu-Thor,pecadora,ahora
yucas,tu madre es una vieja chiflada ,no me fastidies la vida,Juego de promos,perdida,cada
y el tarro,mitomano,metete en tu pueblo,Restaurante Miano,promiscua,e
por el chico,miserable ,mendigo de mierda,Albañiles Torculo,pícara,vida
culeador de maricones,pelafustan,maldito mugroso,El señor de los cardillos,rápida,otro
mamador de mecos,el pelafustan de tu amigo ,gorda maricona,"Mamá, dale click aquí para conectar el internet",alcahueta,después
rosame el ano,negro pelafustan ,maricona hijueputa,Parque Zorrilandia,cabrona,te
chiclayo,podredumbre,callate mal parido hijueputa,Clean is Good,celestina,otros
que fue pes mija como quedo ese chiclayo,sabido ,verguero,La ruta de la Peda,madam,aunque
lesbi tremenda chicote traes,tipejo,miedoso de mierda,Peluquería Pelo´s,mami,esa
bigotuda,Buitres,pedazo de malparido,Mc. Tortas,tía,eso
carceleta,deja de salir con ese tipejo ,malparido delincuente,Restaurant Tan Dao Bien,barragana,hace
pichicorta,deja de ser canalla ve ,perro malparido,Mas Tur Bar,concubina,otra
palo roto,nariz de buitre ,color casco de tombo,Churrasic Park,manceba,gobierno
tienen la concha bien honda,deja de ser sabido hp ,se cree la vaca que más caga,Robo Bank,vampiresa,tan
conchita,viejo mitomano ,aburridora,Tacoste,ninfómana,durante
pepito,eres un mugroso mmv ,gringo burlones,Pañalera Flor de Caca,hipersexual,siempre
cuidado con el pepito,plaston hijueputa ,jueputa tengo rabia,Jurasicc Pan,aplastante.,día
pija,eres un cachudo mamaverga ,tan lindo el malparido,El quinto coño,ballena,tanto
tremenda pija,indio pito chico ,cagador de mierda,Bar Nothingan Prisa,bola,ella
pija corta,mediocre de a verga ,inútil hdspm,Tapas Al Tapone,cachalote,tres
pija lamentable,mamerta ,putos simios,Tienda La Bendición,carpa de circo,sí
boa,baboso mamaverga ,severendo hijo de puta,"Refrescos, el Eructo Feliz",chocobón,dijo
biberón,enfermo de a verga ,que celosa hija de puta,Licorería El Abstemio,costal de papas,sido
biberon de juguete,dientona mmv ,puta mamada,EL señor de los Aliños,saco de papas,gran
maní podrido,negro cara de la buena verga ,malditas gordas,Restaurant Dalai Lomo,manteca,país
cabeza rota,indio arrogante ,muy mierda a la vez,Bread Pitt,mierda,según
falo,negro maricon ,les fascina comer mierda,La banana generosa,grasa,menos
pedazo,indio arrogante,gente de mierda,Sushin`gada,cagada,mundo
tiburón,feo de a  verga ,La puta que me parió loco,Bar Kito,foca,año
tripa de mierda,tonto de a verga ,coman mierda,Indiana Jean,fortota,antes
tripa    ,bruto de a verga ,cuervos negros,Mecanica,kiri,estado
pepelucho,ese man es un cojudo de a verga ,negro muerto de hambre,Librería de Libros,mula,contra
trozo de mierda,el pastuso de tu amigo ,si eres negro no me hables,Thai Tanic,muro,sino
trozo de basura,cholo de a centavo ,negro hijo de re mil puta,Breaking Bread,elefante,forma
trozo,degenerado,negros tenian que ser,Kagada Corporation,mural,caso
tercera pierna,depravado,chupa verga,Pollos Beyonce,mure,nada
bolillas,mocoso deprabado ,te voy a romper la boca,Taberna Paco Melargo,rompepuertas,hacer
pedazo de mmv,adefesio,callate el hocico,Florist Gump,vaca,general
llego la bocona ,indio degenerado,negros tranfugas,Mobil Start,vale por dos,estaba
tesoro,adefesioso,lpm,Chupa MELOX,agüeonao,poco
tu gusta la panocha ,deja de ser adefesioso ,lindo robo el tuyo,Breaking Bar,ahueonao,estos
pero que mierda dejate de vergas,deja de ser un marrano hpta ,perro asqueroso,Pollos Germanos,argolluda,presidente
cosita,eres un pedazo de huevada ,infiel de mierda,Parrillas Mi Pollazo,baboso,mayor
eres un navo,pobre pendejo ,reverendo hijueputa,AC-PC,bobo inca,ante
navo,menestra adefesioso ,campesino pendejo,Bar La sacristía,cabrón,unos
la chucha de tu madre pasame mas,mamarracho,gringo toma viagra,Tomas Turbado,cajetuda,les
que rico navo papi,pareces esperpento con esa cara ,wacala eso gringos,Casimiro Lateta,cagado,algo
abiertota,esperpento,se puso loco el gringo,Mary Conazo,carajo,hacia
culiabierto,cemento,vives de lamer pitos gringos,Armando Lios Enlacama,chichis,casa
cabeza de navo,negro mamarracho,coger pitos,Ines Perada,chocho,ellos
si que eres un pedazo de mierda,mamerto mamaverga ,pendeja hija de puta,Solomea Paredes,choto,ayer
agujero negro,shunsho mamaberga ,mamen la verga,Leandro Gado,chupapenes,hecho
baticueva,guambra coco ,menudo hijo de la grandísima puta,Ana Macia Pajas,cojón,primera
el cochino,pareces tierra mojada negro mmv,zorrita,Elvis Turi Delano,cojones,mucho
hoyito,sarna mmv ,puta de mierda,Paco Folla Melano,coño,mientras
rechucha tu madre,sarnoso ,que verga de man,Maite Lometo,comemierda,además
maricones hijos de puta,sarnoso de mierda ,lisiado,Rosa Melgorro,Coma mierda,quien
cresta,indio sarnoso ,guambra lisiado,Armando Esteban Quito,conchetumadre,momento
que chucha estas haciendo,ñengoso,viejo verga,Elva Ginon,conchuda,millones
te estas rasudando la cresta ,ñengoso mamaverga ,viejo rabo verde,Elver Galarga,papaya,esto
vas a ver conchatumadre,hijuepucta,basado,Elpi Tocorto,cornudo,españa
que chucha estas loca ,calla ve hijuepucta,perro hijo de las 37 mil putas,Alberto Carlos Huevos,culiabierto,hombre
falta de marido hp,tu papá es un pobre hijuepucta,sapoperro,Mirena Miano,culeado,están
yo para que chucha quiero mmv,indio comemierda ,sp,Dolores Fuertes de Barriga,culiao,pues
huequito,granuja,sacate la foto del sp,Juancho Tazo,reculiao,hoy
berga,pedazo de deprabado ,putos negros de verga regresen a la esclavitud,Elsa Porrico,huevón,lugar
oe chucha de tu madre,sonso de a verga  ,mongola,Edgar Gajo,hueón,madrid
redoble verga,panzon de la buena verga ,indio mongolo,Rosamel Ortega,facha,nacional
soplon,negro cara de cula ,mona arrecha,Alan Brito Delgado,gabacho,trabajo
oe cual es tu alegria chucha tu madre,fariseo,verguero,Edgar Ganta,gilipollas,otras
la rechucha tu madre,ese man es un fariseo hijueputa ,perra sin verguenza,Ester Mosobicho,jilipollas,mejor
mas viejo que tu chucha, majadero,arabes ctm,Lola Meraz,gilopoyas,nuevo
chugcha,malasangre,arabe de mierda,Lucila Tanga,jilipoyas,decir
traga luz,patan,arabe bombeador,Olga Disima de Loyo,gomas,algunos
traga cucas,indio piojoso ,arabe culero,Omar Ciano,gonorrea,entonces
traga palos,piltrafa ,culero,Omar Garita,gracioso,todas
comedor de pitos,tarado ,indio guarapero,Lago Loza,guacamayo,días
no preguntes huevadas,tarado hijueputa ,borracho hijueputa,Profesor Jirafalez,guachipán,debe
webonaso,tarugo ,arrecho,Maestro Longaniza,guampudo,política
webon,zangano ,mongolito,Senor salchicha,weon,cómo
otro ojo,Zoquete,anormal,La bruja del 71,hueon,casi
ni la verga hijueputa,zangano de mierda ,mandilon,Kelyn Teresa Austed,hijo de puta,toda
suripanta de vrg,zoquete de a verga ,mandarina,Armando Bronca Segura,hijueputa,tal
dedo sin uña,aborto de dios,trastornado,Lola Mento,hijoputa,luego
cara de la verga,aborto planeado ,puto trastornado,Ana Busado de Hesa,lolas,pasado
mira culos,negro tarugo ,zopenca,Andres Tresado,jodeputas,primer
sopla pollas,zopenco,insecta,Cindy Entes,joputa,medio
pollas,alcornoque,sopla huevos,Cindy Nero,jueputa,va
chepita,piojoso ,inservible,Cindy Version,imbeshemale,estas
menuda chepita que carga,eres un alcaguete de a verga ,eres una maldita diarrea,Eddy Ficio,ladilla,sea
sancocho de verga,alcaguete,soplon de mierda,Elena Nito,lambón,tenía
que eres loca chucha tu madre dejate de huevadas,mendrugo,qlo,Elmer Cado,lameculo,nunca
que te den por el culo,tu pana es un pedazo de mendrugo,hijo de perra,Elsa Nitario,malcogida,poder
culitos,mocoso majadero,follera,Elvio Lado,malfollao,aquí
huevas,´tu amigo es un pobre zopenco ,mamahuevo,Elvio Lento,malparido,ver
y ahora que chucha te pasa te ries por las huevas,analfabeto,por que perra madre no hacen algo bueno,Elvis Cochuelo,mamarrabos,veces
como dices chucha de tu madre,negro analfabeto,de donde verga salen tantos extrangeros,Elvis Nieto,mamarracho,embargo
y como chucha te gusta,patan,perra necia,Ema Amado Bustos,mamón,partido
te mandas la tercera pierna hasta las trompas de falopio,hediondo ,desgraciada ,Poca Garte,moro,personas
sapo,retrasado ,mona puta,Paca Garte,moromierda,grupo
sapote,indio retrasado ,irrespetuosa,Pepe Lado,orco,cuenta
te ahuevas,subnormal,mofletuda,Pepe Lotudo,pachihediondo,pueden
piernas de pollo,mequetrefe,traumada,Alma Madero Gozo,panca,tienen
portones,subnormal de a verga ,traumada hijueputa,Keko Jones,pajuo,misma
postes,eres un pobre mequetrefe ,perra empoderada,Marc Tillo,parigüayo,nueva
patas,estas hediondo ,chupalo,Alberto Catesta,payo poni,cual
pechereques,chusma,feo castroso,Aquiles Baeza,pendejo,fueron
asi se come aqui careverga,eres una pobre chusma,como jodes,Carlos Perez Gil,pelotudo,mujer
tragate la verga,cretino,eres una facil,Belen Gena,pijo,frente
par de maricones que se tocan la pija,eres una tremenda foca ,dora la puteadora,Elson Brero,pijotero,josé
tijeras,foca,nini,Keka Galindo,ostia,tras
ahuevonado,joputa ,viejo feo,Paty Talombro,ojete,cosas
gileraso,ñoño,vieja sapa,Lucas Trado,pinche,fin
frente de chucha,palurdo,agresiva,Aitor Menta,polaco,ciudad
par de maricones ,inculto,india ,Zoyla Vaca,rojomierda,he
mascatripas,pinche,india necia,Luz Rojas,soplapingas,social
come cucas,pinche idiota ,venezolano verga,Marcia Ana,soplapollas,manera
come pitos,plasta,largate,Rosamel Fierro,tetas,tener
come palos,rastrero,safa de mi vista,Elma Montt,tontolculo,sistema
bolillos,sabandija,indio mediocre,Sole Dolio,tontolaba,será
balones ,sanguijuela,burrotes,Debora Cabezas ,tonto la polla,historia
canicas pequeñas,eres una rata rastrera ,me la chupas,Armando Mocha,pingo,muchos
que verga de desperdicio,eres un pedazo de sabandija ,vales reverga,Guillermo Nigote,palanca,juan
rabano,cerdo inculto ,asesina,Sevelinda Parada,sobaquena,tipo
rabote,pareces ñoño,vieja oxidada,Jose Luis Lamata Feliz,comepollas,cuatro
sancocho de manguera,cara de foca,guambra cagados,Elsa Capunta,culo,dentro
cuidado se te voltea la canoa,gordo joputa,cagado,Zampa Teste,el coño de la madre,nuestro
que ricas tortillas parcero,La fujoshi más cuerda,,Elba Calao,Demasiado cringe,punto
vagre,lo que pasa por no terminar la primaria,,Yola Prieto,cum,dice
mandingo,se volvió emo,,Pamela Chu,cumear,ello
pedasito de vela,Hola feos,,Jhonny Choque,sex,cualquier
Un gay se nace o se hace,piel oscura,,Juancho Talarga,Cuckiado,noche
homosexual,Con dinero baila el perro,,villacorta varga Ignacio,Recuck,aún
,,,,cuckniso,agua
,,,,c0ñ0,parece
,,,,jotos,haber
,,,,coño,situación
,,,,,fuera
,,,,,bajo
,,,,,grandes
,,,,,nuestra
,,,,,ejemplo
,,,,,acuerdo
,,,,,habían
,,,,,usted
,,,,,estados
,,,,,hizo
,,,,,nadie
,,,,,países
,,,,,horas
,,,,,posible
,,,,,tarde
,,,,,ley
,,,,,importante
,,,,,guerra
,,,,,desarrollo
,,,,,proceso
,,,,,realidad
,,,,,sentido
,,,,,lado
,,,,,mí
,,,,,tu
,,,,,cambio
,,,,,allí
,,,,,mano
,,,,,eran
,,,,,estar
,,,,,san
,,,,,número
,,,,,sociedad
,,,,,unas
,,,,,centro
,,,,,padre
,,,,,gente
,,,,,final
,,,,,relación
,,,,,cuerpo
,,,,,obra
,,,,,incluso
,,,,,través
,,,,,último
,,,,,madre
,,,,,mis
,,,,,modo
,,,,,problemas
,,,,,cinco
,,,,,carlos
,,,,,hombres
,,,,,información
,,,,,ojos
,,,,,muerte
,,,,,nombre
,,,,,algunas
,,,,,público
,,,,,mujeres
,,,,,siglo
,,,,,todavía
,,,,,meses
,,,,,mañana
,,,,,esos
,,,,,nosotros
,,,,,hora
,,,,,muchas
,,,,,pueblo
,,,,,alguna
,,,,,dar
,,,,,problema
,,,,,don
,,,,,da
,,,,,tú
,,,,,derecho
,,,,,verdad
,,,,,maría
,,,,,unidos
,,,,,podría
,,,,,sería
,,,,,junto
,,,,,cabeza
,,,,,aquel
,,,,,luis
,,,,,cuanto
,,,,,tierra
,,,,,equipo
,,,,,segundo
,,,,,director
,,,,,dicho
,,,,,cierto
,,,,,casos
,,,,,manos
,,,,,nivel
,,,,,podía
,,,,,familia
,,,,,largo
,,,,,partir
,,,,,falta
,,,,,llegar
,,,,,propio
,,,,,ministro
,,,,,cosa
,,,,,primero
,,,,,seguridad
,,,,,hemos
,,,,,mal
,,,,,trata
,,,,,algún
,,,,,tuvo
,,,,,respecto
,,,,,semana
,,,,,varios
,,,,,real
,,,,,sé
,,,,,voz
,,,,,paso
,,,,,señor
,,,,,mil
,,,,,quienes
,,,,,proyecto
,,,,,mercado
,,,,,mayoría
,,,,,luz
,,,,,claro
,,,,,iba
,,,,,éste
,,,,,pesetas
,,,,,orden
,,,,,español
,,,,,buena
,,,,,quiere
,,,,,aquella
,,,,,programa
,,,,,palabras
,,,,,internacional
,,,,,van
,,,,,esas
,,,,,segunda
,,,,,empresa
,,,,,puesto
,,,,,ahí
,,,,,propia
,,,,,m
,,,,,libro
,,,,,igual
,,,,,político
,,,,,persona
,,,,,últimos
,,,,,ellas
,,,,,total
,,,,,creo
,,,,,tengo
,,,,,dios
,,,,,c
,,,,,española
,,,,,condiciones
,,,,,méxico
,,,,,fuerza
,,,,,solo
,,,,,único
,,,,,acción
,,,,,amor
,,,,,policía
,,,,,puerta
,,,,,pesar
,,,,,zona
,,,,,sabe
,,,,,calle
,,,,,interior
,,,,,tampoco
,,,,,música
,,,,,ningún
,,,,,vista
,,,,,campo
,,,,,buen
,,,,,hubiera
,,,,,saber
,,,,,obras
,,,,,razón
,,,,,ex
,,,,,niños
,,,,,presencia
,,,,,tema
,,,,,dinero
,,,,,comisión
,,,,,antonio
,,,,,servicio
,,,,,hijo
,,,,,última
,,,,,ciento
,,,,,estoy
,,,,,hablar
,,,,,dio
,,,,,minutos
,,,,,producción
,,,,,camino
,,,,,seis
,,,,,quién
,,,,,fondo
,,,,,dirección
,,,,,papel
,,,,,demás
,,,,,barcelona
,,,,,idea
,,,,,especial
,,,,,diferentes
,,,,,dado
,,,,,base
,,,,,capital
,,,,,ambos
,,,,,europa
,,,,,libertad
,,,,,relaciones
,,,,,espacio
,,,,,medios
,,,,,ir
,,,,,actual
,,,,,población
,,,,,empresas
,,,,,estudio
,,,,,salud
,,,,,servicios
,,,,,haya
,,,,,principio
,,,,,siendo
,,,,,cultura
,,,,,anterior
,,,,,alto
,,,,,media
,,,,,mediante
,,,,,primeros
,,,,,arte
,,,,,paz
,,,,,sector
,,,,,imagen
,,,,,medida
,,,,,deben
,,,,,datos
,,,,,consejo
,,,,,personal
,,,,,interés
,,,,,julio
,,,,,grupos
,,,,,miembros
,,,,,ninguna
,,,,,existe
,,,,,cara
,,,,,edad
,,,,,etc
,,,,,movimiento
,,,,,visto
,,,,,llegó
,,,,,puntos
,,,,,actividad
,,,,,bueno
,,,,,uso
,,,,,niño
,,,,,difícil
,,,,,joven
,,,,,futuro
,,,,,aquellos
,,,,,mes
,,,,,pronto
,,,,,soy
,,,,,hacía
,,,,,nuevos
,,,,,nuestros
,,,,,estaban
,,,,,posibilidad
,,,,,sigue
,,,,,cerca
,,,,,resultados
,,,,,educación
,,,,,atención
,,,,,gonzález
,,,,,capacidad
,,,,,efecto
,,,,,necesario
,,,,,valor
,,,,,aire
,,,,,investigación
,,,,,siguiente
,,,,,figura
,,,,,central
,,,,,comunidad
,,,,,necesidad
,,,,,serie
,,,,,organización
,,,,,nuevas
,,,,,calidad
,,,,,economía
,,,,,carácter
,,,,,jefe
,,,,,estamos
,,,,,prensa
,,,,,control
,,,,,sociales
,,,,,universidad
,,,,,militar
,,,,,cabo
,,,,,diez
,,,,,fuerzas
,,,,,congreso
,,,,,ésta
,,,,,hijos
,,,,,justicia
,,,,,mundial
,,,,,dólares
,,,,,juego
,,,,,económica
,,,,,políticos
,,,,,duda
,,,,,recursos
,,,,,pública
,,,,,crisis
,,,,,próximo
,,,,,tenemos
,,,,,decisión
,,,,,varias
,,,,,popular
,,,,,tenido
,,,,,apenas
,,,,,época
,,,,,banco
,,,,,presente
,,,,,menor
,,,,,quiero
,,,,,pasar
,,,,,resultado
,,,,,televisión
,,,,,encuentra
,,,,,gracias
,,,,,ministerio
,,,,,conjunto
,,,,,defensa
,,,,,alguien
,,,,,queda
,,,,,hacen
,,,,,pasa
,,,,,resto
,,,,,causa
,,,,,seguir
,,,,,allá
,,,,,palabra
,,,,,voy
,,,,,cuya
,,,,,vamos
,,,,,mar
,,,,,estudios
,,,,,derechos
,,,,,importancia
,,,,,cuales
,,,,,contrario
,,,,,manuel
,,,,,garcía
,,,,,fuerte
,,,,,sol
,,,,,jóvenes
,,,,,apoyo
,,,,,habría
,,,,,civil
,,,,,miguel
,,,,,pedro
,,,,,partidos
,,,,,libre
,,,,,fuentes
,,,,,administración
,,,,,común
,,,,,dejar
,,,,,cine
,,,,,salir
,,,,,comunicación
,,,,,b
,,,,,experiencia
,,,,,demasiado
